eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 3/1/2014 3:46:21 PM
#Cmp ( order = Reference )
| BT1        BATTERY     ~                   ; ~           ; ~           
| C1         Cap Steadystate~                   ; ~           ; ~           
| C2         Cap Steadystate~                   ; ~           ; ~           
| C3         Cap Nominal ~                   ; ~           ; ~           
| C4         Cap Nominal ~                   ; ~           ; ~           
| C5         Cap Steadystate~                   ; ~           ; ~           
| C6         Cap Nominal ~                   ; ~           ; ~           
| C7         Cap Nominal ~                   ; ~           ; ~           
| C8         22nF        ~                   ; ~           ; ~           
| C9         Cap Steadystate~                   ; ~           ; ~           
| C10        Cap Nominal ~                   ; ~           ; ~           
| C11        22nF        ~                   ; ~           ; ~           
| C12        Cap Steadystate~                   ; ~           ; ~           
| C13        Cap Nominal ~                   ; ~           ; ~           
| C14        22nF        ~                   ; ~           ; ~           
| C15        Cap Steadystate~                   ; ~           ; ~           
| C16        Cap Nominal ~                   ; ~           ; ~           
| C17        Cap Nominal ~                   ; ~           ; ~           
| C18        Cap Nominal ~                   ; ~           ; ~           
| C19        Cap Nominal ~                   ; ~           ; ~           
| C20        Cap Nominal ~                   ; ~           ; ~           
| C21        22uF        ~                   ; ~           ; ~           
| C22        22uF        ~                   ; ~           ; ~           
| C23        10nF        ~                   ; ~           ; ~           
| C24        10nF        ~                   ; ~           ; ~           
| C25        10uF        ~                   ; ~           ; ~           
| C26        22uF        ~                   ; ~           ; ~           
| C27        0.1uF       ~                   ; ~           ; ~           
| C28        10uF        ~                   ; ~           ; ~           
| C29        2.2 nF      ~                   ; ~           ; ~           
| C30        Cap Nominal ~                   ; ~           ; ~           
| C31        1uF         ~                   ; ~           ; ~           
| C32        6.8uF       ~                   ; ~           ; ~           
| C33        47nF        ~                   ; ~           ; ~           
| C34        10uF        ~                   ; ~           ; ~           
| C35        10uF        ~                   ; ~           ; ~           
| C36        10uF        ~                   ; ~           ; ~           
| C37        4.7uF       ~                   ; ~           ; ~           
| D1         MBR1045ULPS ~                   ; ~           ; ~           
| D2         MBR1045ULPS ~                   ; ~           ; ~           
| D3         LY-E63F     ~                   ; ~           ; ~           
| D4         LY-E63F     ~                   ; ~           ; ~           
| D5         LY-E63F     ~                   ; ~           ; ~           
| D6         LY-A67F     ~                   ; ~           ; ~           
| D7         RBG_LED     ~                   ; ~           ; ~           
| D8         RBG_LED     ~                   ; ~           ; ~           
| D9         RBG_LED     ~                   ; ~           ; ~           
| D10        LY-A67F     ~                   ; ~           ; ~           
| D11        LY-E63F     ~                   ; ~           ; ~           
| D12        LY-E63F     ~                   ; ~           ; ~           
| D13        LY-E63F     ~                   ; ~           ; ~           
| D14        LY-E63F     ~                   ; ~           ; ~           
| D15        LS-E63F     ~                   ; ~           ; ~           
| D16        LS-E63F     ~                   ; ~           ; ~           
| D17        LS-E63F     ~                   ; ~           ; ~           
| D18        LS-E63F     ~                   ; ~           ; ~           
| D19        LS-E63F     ~                   ; ~           ; ~           
| D20        LS-E63F     ~                   ; ~           ; ~           
